GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA1996_1681: Average value of dwelling $,v_CA1996_1701: Average gross rent $,v_CA1996_1347: Total population 15 years and over by highest level of schooling,v_CA1996_1360: With bachelor's degree or higher
4620253.00,CT,Montréal,0.458777684243679,2802,1100,1095,129468,489,2235,135
4620254.00,CT,Montréal,0.682954266679943,3609,1611,1605,117158,523,3045,275
4620256.00,CT,Montréal,1.85974599678957,3715,1336,1335,121211,544,2885,155
4620257.00,CT,Montréal,1.33717448326898,4562,1610,1610,133395,492,3560,75
4620258.00,CT,Montréal,0.405111502635002,4597,1610,1610,122521,447,3380,140
4620259.00,CT,Montréal,0.35869678400749,5797,2147,2145,140689,484,4380,105
4620260.00,CT,Montréal,0.530428423488617,2255,815,815,130384,487,1745,70
4620261.00,CT,Montréal,0.621945840236068,2726,1022,1020,142755,497,2195,145
4620262.00,CT,Montréal,0.740958499219418,4748,1592,1595,129611,529,3665,120
4620263.00,CT,Montréal,0.752581206929326,4047,1593,1590,149472,490,3370,220
4620264.01,CT,Montréal,1.19900969840236,5577,2464,2415,164873,537,4650,945
4620264.02,CT,Montréal,0.882783339998484,4522,2216,2180,125362,538,3825,1220
4620265.00,CT,Montréal,0.4862253720963,4421,2192,2100,133813,506,3815,605
4620266.00,CT,Montréal,0.77073939357537,3190,1587,1570,116147,469,2645,300
4620267.00,CT,Montréal,1.12868598604104,6177,2424,2415,151930,493,5115,465
4620268.01,CT,Montréal,0.571951299706459,5519,2803,2785,130688,638,4820,885
4620268.02,CT,Montréal,0.347880587828875,3772,1523,1520,206590,560,3010,525
4620268.03,CT,Montréal,1.31236672027832,0,0,0,x,x,x,x
4620269.00,CT,Montréal,0.784301980850577,3974,1907,1895,156596,436,3205,485
4620270.00,CT,Montréal,0.68843459464325,4073,2093,2065,168903,492,3555,730
4620271.00,CT,Montréal,0.488970687809899,3095,1455,1450,139177,547,2710,435
4620272.00,CT,Montréal,0.487240392826796,3601,1799,1785,183975,480,3095,550
4620273.00,CT,Montréal,0.576070901223421,4395,2021,2015,171540,491,3715,520
4620274.00,CT,Montréal,0.484975547013283,3039,1346,1345,160490,524,2620,285
4620275.00,CT,Montréal,0.61474957160008,4008,1957,1950,160411,483,3435,665
4620276.00,CT,Montréal,0.837948423409134,4776,2392,2375,158829,492,4060,620
4620277.00,CT,Montréal,0.533391322396517,4107,1865,1850,170433,486,3075,695
4620278.00,CT,Montréal,0.589208862763405,4257,2113,2095,148878,530,3655,765
4620279.00,CT,Montréal,0.938618074203134,4130,1989,1980,191028,514,3530,1000
4620280.00,CT,Montréal,0.607203736150265,4267,2100,2090,165228,473,3575,895
4620281.00,CT,Montréal,1.07248976186627,3616,1531,1525,179620,799,2670,905
4620282.00,CT,Montréal,1.32266369951218,6148,2519,2505,171079,489,5080,895
4620283.01,CT,Montréal,0.61197765934515,3832,1370,1365,189680,564,3385,645
4620283.02,CT,Montréal,0.462576376961768,3047,1197,1195,215902,544,2660,445
4620284.00,CT,Montréal,0.581777503265858,3370,1519,1510,190513,470,2985,695
4620285.00,CT,Montréal,1.50496975123185,6737,2277,2265,158826,453,5100,990
4620286.00,CT,Montréal,0.804124913006783,4808,1930,1925,147539,489,3865,690
4620287.01,CT,Montréal,0.534883573700666,5384,2583,2565,138306,453,4350,500
4620287.02,CT,Montréal,1.05197016595274,4247,1563,1555,236398,482,3520,845
4620288.00,CT,Montréal,1.85887607417346,1372,566,565,359403,583,1180,270
4620290.01,CT,Montréal,1.19205281431842,1998,737,735,126082,517,1625,90
4620290.02,CT,Montréal,1.71387176978374,5927,1922,1920,163091,512,4645,310
4620290.03,CT,Montréal,0.636292107839227,3990,1474,1470,143241,542,3110,205
4620290.04,CT,Montréal,2.82730334756088,6138,2026,2025,131864,582,4695,390
4620290.05,CT,Montréal,2.22746406657612,5331,1994,1990,119589,708,3760,360
4620290.06,CT,Montréal,0.965324151491702,6232,1887,1885,138966,519,4835,345
4620290.07,CT,Montréal,0.567927473604321,2942,1016,1015,140237,444,2230,155
4620290.08,CT,Montréal,1.09610061768526,4260,1384,1385,123540,591,3350,250
4620290.09,CT,Montréal,1.14389416341972,5365,1709,1705,129988,481,4155,315
4620291.00,CT,Montréal,10.9733136139534,8669,2636,2630,121978,480,6030,565
4620300.00,CT,Verdun,0.507866567334466,2190,1108,1105,88893,530,1745,200
4620301.00,CT,Verdun,0.428104333141744,4689,2328,2325,97289,461,3980,490
4620302.00,CT,Verdun,0.201752597672582,2812,1387,1385,83264,487,2310,105
4620303.00,CT,Verdun,0.258390389171317,2052,1039,1035,104346,475,1685,105
4620304.00,CT,Verdun,0.280582434740141,2578,1400,1395,144356,434,2190,130
4620305.00,CT,Verdun,0.350833707936645,3365,1745,1740,103025,513,2880,305
4620306.00,CT,Verdun,0.223334860283613,3037,1456,1450,106723,500,2475,185
4620307.00,CT,Verdun,0.175130748522758,3263,1497,1490,88482,471,2550,190
4620308.00,CT,Verdun,0.178896622633457,2773,1293,1285,100806,491,2250,70
