GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,"v_CA16_4890: Total - Owner households in non-farm, non-reserve private dwellings - 25% sample data","v_CA16_4897: Total - Tenant households in non-farm, non-reserve private dwellings - 25% sample data"
4620401.00,CT,Mont-Royal,0.96878,3116,1299,1218,750,480
4620402.00,CT,Mont-Royal,2.43797,1686,746,698,450,250
4620403.00,CT,Mont-Royal,1.31734,5198,1944,1767,1190,580
4620404.00,CT,Mont-Royal,1.43255,5044,1824,1710,1185,525
4620410.01,CT,Montréal,0.8713,5540,2199,2072,1080,995
4620410.02,CT,Montréal,0.76362,5948,2842,2691,1445,1230
4620410.03,CT,Montréal,2.20657,1905,665,628,375,270
4620412.00,CT,Montréal,1.50276,7329,2888,2716,1625,1090
4620413.01,CT,Montréal,0.80795,3865,1402,1380,1315,80
4620413.02,CT,Montréal,0.80649,3812,1582,1450,430,1000
4620415.03,CT,Montréal,0.25538,4193,2028,1913,555,1380
4620415.04,CT,Montréal,0.47715,4748,2153,1980,585,1430
4620415.05,CT,Montréal,10.89386,7819,2902,2836,2350,485
4620415.06,CT,Montréal,17.96505,7683,3154,2931,2515,360
4620416.01,CT,Montréal,0.85315,4050,1446,1414,1210,225
4620416.02,CT,Montréal,1.03977,3067,1177,1073,475,575
4620417.01,CT,Montréal,0.6681,4804,1874,1779,1140,645
4620417.02,CT,Montréal,0.36121,2857,954,873,115,755
4620418.00,CT,Montréal,1.30222,5907,2693,2545,970,1575
4620419.00,CT,Montréal,0.37887,4746,1855,1652,310,1340
4620420.00,CT,Montréal,0.83341,5157,1775,1710,1085,625
4620421.01,CT,Montréal,0.41478,7897,3191,2956,160,2800
4620421.02,CT,Montréal,0.55719,7501,2991,2779,550,2225
4620430.00,CT,Dorval,1.97115,6711,3642,3403,1595,1815
4620431.00,CT,Dorval,2.19763,5413,2487,2361,1200,1160
4620432.00,CT,Dorval,1.30463,3267,1272,1244,1105,105
