GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,"v_CA21_5817: Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households",v_CA21_5847: Bachelor's degree or higher,"v_CA21_5865: Total - Highest certificate, diploma or degree for the population aged 25 to 64 years in private households",v_CA21_5895: Bachelor's degree or higher
4620040.00,CT,0040.00,2.1693,0,0,0,,,,
4620041.00,CT,0041.00,0.2583,1814,1128,1042,1655,695,1270,605
4620042.00,CT,0042.00,0.1026,1145,850,742,1105,505,830,430
4620043.00,CT,0043.00,0.3527,1385,895,802,1175,590,955,530
4620044.00,CT,0044.00,0.1363,2164,1398,1264,2130,1000,1590,870
4620045.00,CT,0045.00,0.1175,1493,1080,947,1345,505,950,410
4620046.00,CT,0046.00,0.159,2143,1384,1287,1980,885,1565,780
4620047.00,CT,0047.00,0.1185,728,421,393,670,295,555,250
4620048.00,CT,0048.00,0.1403,2302,1422,1290,2075,920,1665,825
4620049.00,CT,0049.00,0.1642,1399,863,757,1115,475,805,410
4620050.00,CT,0050.00,0.0706,1364,787,717,1175,595,885,530
4620051.00,CT,0051.00,0.214,1907,1346,1093,1600,835,1130,685
4620052.00,CT,0052.00,0.1393,2208,1410,1217,1935,970,1300,775
4620053.00,CT,0053.00,0.1079,1385,1093,912,1260,645,795,520
4620054.00,CT,0054.00,0.1504,1444,935,799,1085,610,805,485
4620055.01,CT,0055.01,0.7361,5726,4252,3371,5140,3150,3775,2490
4620055.02,CT,0055.02,1.2456,559,325,301,520,355,200,155
4620056.00,CT,0056.00,0.2882,1963,1402,1163,1805,955,1140,795
4620057.00,CT,0057.00,0.1457,1963,1285,1017,1460,810,1045,660
4620058.00,CT,0058.00,0.1513,1251,787,686,1020,570,635,455
4620059.00,CT,0059.00,0.2028,1428,1024,848,1320,840,855,605
4620060.00,CT,0060.00,0.0914,1082,753,527,975,110,490,55
4620061.00,CT,0061.00,0.217,1325,872,675,1095,765,815,630
4620062.00,CT,0062.00,0.8287,4679,3943,2965,4275,2745,2880,2160
4620063.00,CT,0063.00,0.3635,5477,5006,3510,4785,2825,3090,2225
4620064.00,CT,0064.00,0.2402,1949,1612,1130,1665,1090,1055,830
4620065.01,CT,0065.01,0.1369,6388,4929,4044,6220,3650,3995,2880
4620065.02,CT,0065.02,0.1453,3629,2602,2143,3190,1825,2000,1455
4620066.01,CT,0066.01,0.2287,3684,2506,2053,3660,2175,2330,1700
4620066.02,CT,0066.02,0.1805,3178,2356,1943,2950,1510,1885,1275
4620067.00,CT,0067.00,0.1466,1839,864,812,1455,625,1035,535
4620068.00,CT,0068.00,0.1609,1901,703,609,1275,195,765,160
4620069.01,CT,0069.01,0.4352,4563,3347,2560,4155,2820,3160,2340
4620069.02,CT,0069.02,0.2596,4206,2923,2542,3785,2500,3220,2230
4620070.01,CT,0070.01,0.2615,3767,2876,2482,3405,2395,2865,2110
4620070.02,CT,0070.02,0.3576,5908,3994,3529,4930,3250,4170,2950
4620071.00,CT,0071.00,0.4407,0,1,1,,,,
4620072.00,CT,0072.00,2.5946,3634,1973,1824,3080,1195,2290,1085
4620073.00,CT,0073.00,0.3262,1936,1199,1106,1625,700,1160,575
4620074.00,CT,0074.00,0.4015,3631,1835,1733,2910,1305,2245,1190
4620075.00,CT,0075.00,0.3075,2675,1491,1363,2300,890,1800,830
4620076.00,CT,0076.00,0.3661,3305,1929,1765,2825,1335,2270,1215
4620077.00,CT,0077.00,0.4203,4025,2213,1993,3530,1655,2685,1425
