GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA01_1384: Total population 20 years and over by highest level of schooling
4620709.02,CT,Blainville,2.3458,4153,1674,1595,3090
4620710.01,CT,Blainville,34.6254,6301,2126,2055,4140
4620710.02,CT,Blainville,6.9682,7023,2370,2240,4515
4620710.03,CT,Blainville,3.0834,5911,2098,2035,3985
4620710.04,CT,Blainville,4.6588,7601,2718,2640,5100
4620725.03,CT,Saint-Eustache,1.562,3855,1398,1380,2870
4620725.04,CT,Saint-Eustache,2.839,3450,1248,1210,2510
4620725.05,CT,Saint-Eustache,6.8047,9730,3258,3190,6325
4620725.06,CT,Saint-Eustache,51.959,1750,621,600,1270
4620726.01,CT,Saint-Eustache,1.8731,6648,2681,2625,4955
4620726.03,CT,Saint-Eustache,1.3085,5231,2216,2160,3860
4620726.04,CT,Saint-Eustache,0.7842,2229,698,695,1490
4620727.01,CT,Saint-Eustache,1.1189,3372,1661,1580,2685
4620727.02,CT,Saint-Eustache,1.5623,4113,1677,1625,2885
4620728.01,CT,Deux-Montagnes,1.7496,6646,2432,2375,4495
4620728.02,CT,Deux-Montagnes,1.9814,3924,1476,1425,2740
4620728.03,CT,Deux-Montagnes,0.9237,2741,981,960,1925
4620729.00,CT,Deux-Montagnes,1.5032,3769,1633,1580,2795
4620730.01,CT,Sainte-Marthe-sur-le-Lac,6.3678,2750,930,900,1880
4620730.02,CT,Sainte-Marthe-sur-le-Lac,3.152,5992,2330,2230,4290
4620731.00,CT,Pointe-Calumet,4.8144,5604,2268,2085,3905
4620732.01,CT,Saint-Joseph-du-Lac,41.6442,4882,1704,1660,3375
4620732.02,CT,Oka,69.4615,3194,1296,1220,2385
4620733.00,CT,Mirabel,274.4591,5601,2263,2060,3995
4620734.01,CT,Mirabel,131.2017,5242,1975,1890,3565
4620734.02,CT,Mirabel,61.3453,7495,2671,2590,5120
4620735.01,CT,Mirabel,52.8326,4919,1859,1795,3340
4620735.02,CT,Mirabel,9.0566,5610,2086,2055,3845
4620740.00,CT,Gore,189.1429,8780,4258,3390,6290
4620750.01,CT,Notre-Dame-de-l'Île-Perrot,15.4038,3997,1519,1450,2850
4620750.02,CT,Notre-Dame-de-l'Île-Perrot,12.3418,4549,1564,1500,3075
4620750.03,CT,L'Île-Perrot,6.4845,11422,4792,4645,8355
4620751.01,CT,Pincourt,3.1984,5330,1991,1960,3805
4620751.02,CT,Pincourt,4.3414,4777,1617,1580,3285
4620755.00,CT,Vaudreuil-Dorion,26.5167,8379,3676,3500,6380
4620756.02,CT,Vaudreuil-Dorion,10.7853,718,267,255,505
4620756.03,CT,Vaudreuil-Dorion,34.1423,4488,1628,1545,3155
4620756.04,CT,Vaudreuil-Dorion,2.8039,3800,1438,1380,2575
4620756.05,CT,Vaudreuil-Dorion,2.2691,4468,1849,1780,3185
4620757.00,CT,Hudson,21.9487,4796,2030,1960,3575
4620758.01,CT,Saint-Lazare,39.4429,6468,2122,2080,4280
4620758.02,CT,Saint-Lazare,27.4955,6427,2239,2165,4295
4620760.00,CT,Les Cèdres,80.0395,5128,1915,1840,3585
4620775.00,CT,Léry,10.5304,2378,977,915,1735
4620776.00,CT,Maple Grove,8.2411,2628,1112,1070,2015
4620777.00,CT,Melocheville,67.4901,8836,3888,3765,6570
4620780.00,CT,Saint-Jérôme,1.469,3649,1634,1570,2770
